model,question,style,tokens_in,tokens_out,cost_in_usd,cost_out_usd,cost_usd,response_preview,latency_ms
qwen3-8b,jwt_auth,baseline,20,3078,1.138475896770005e-06,0.00140169152410323,0.00140283,"JWT (JSON Web Token) is a compact, URL-safe means of representing claims to be transferred between two parties. It consists of three parts: **Header**",49431
qwen3-8b,jwt_auth,caveman,35,638,2.0049571901148083e-06,0.00029238004280988516,0.000294385,"JWT is token. When user login, server make token. Token has 3 parts: header, payload, signature. Header says what is inside. Payload has user data. Si",13098
qwen3-8b,jwt_auth,telegraph,65,678,3.25e-06,0.0002712,0.00027445,"- client sends req with credentials → server checks db (auth)   - server generates jwt (impl) with header, payload, signature (cfg)   - jwt contains u",9346
qwen3-8b,jwt_auth,minimal,41,794,2.3476844986704205e-06,0.0003637193155013295,0.000366067,"JWT (JSON Web Token) authentication involves three steps:   1. **Token Generation**: The server creates a token with user claims (e.g., user ID) and s",10384
qwen3-8b,jwt_auth,structured,55,762,2.7500000000000004e-06,0.00030480000000000004,0.00030755,"ANSWER: JWT authentication uses a token containing user data and a signature to authenticate requests.   STEPS:   1. User authenticates, server verifi",12121
qwen3-8b,jwt_auth,bullets,43,995,2.459516181431963e-06,0.00045529648381856805,0.000457756,"- User sends credentials to server   - Server verifies credentials, generates JWT   - JWT includes header, payload, signature   - Client stores token,",18017
qwen3-8b,jwt_auth,ultrashort,35,431,1.7500000000000002e-06,0.00017240000000000002,0.00017415,"JWT authentication works by generating a signed token containing user claims, which is sent to the client and validated by the server on subsequent re",5930
qwen3-8b,jwt_auth,yoda,40,1183,2e-06,0.0004732,0.0004752,"Works JWT authentication by creating token, which contains user data and signature. Verified user credentials after token is generated by server. Sent",16224
qwen3-8b,sql_explain,baseline,20,1525,1.139468085106383e-06,0.0006950755319148936,0.000696215,A **database index** is a data structure that improves the speed of data retrieval operations on a database table. It works similarly to an index in a,18129
qwen3-8b,sql_explain,caveman,35,317,2.0192726565538704e-06,0.00014631072734344616,0.00014833,index is list of words to find data fast.   use when search often.   don't use when update often.   use on columns used in where or join.,4833
qwen3-8b,sql_explain,telegraph,65,578,3.751050330560887e-06,0.0002668439496694391,0.000270595,- Index: db data structure → faster lookups   - Use when: frequent searches → faster queries   - Use when: joins → faster joins   - Use when: sorting ,6791
qwen3-8b,sql_explain,minimal,41,492,2.05e-06,0.00019680000000000004,0.00019885,"A database index is a data structure that improves query speed by enabling faster data retrieval. Use indexes on columns frequently used in WHERE, JOI",8104
qwen3-8b,sql_explain,structured,55,320,2.75e-06,0.000128,0.00013075,ANSWER: A database index is a data structure that improves query speed by enabling faster data retrieval. | STEPS: 1. Define index as a reference for ,5256
qwen3-8b,sql_explain,bullets,43,357,2.4839730941704034e-06,0.0001649820269058296,0.000167466,"- Database index speeds up data retrieval.   - Use for frequent queries on specific columns.   - Enhances WHERE, JOIN, and ORDER BY performance.   - E",4352
qwen3-8b,sql_explain,ultrashort,35,491,1.75e-06,0.0001964,0.00019815,"A database index is a data structure that improves the speed of data retrieval operations on a database table, and should be used when querying freque",8573
qwen3-8b,sql_explain,yoda,40,342,2.0000000000000003e-06,0.00013680000000000002,0.0001388,"Is what a database index, and use one when should you?",5078
qwen3-8b,debug_task,baseline,22,2393,1.1000000000000003e-06,0.0009572000000000001,0.0009583,"When a Python function unexpectedly returns `None`, it's often due to one of several common issues. Here's a structured breakdown of the most likely c",31852
qwen3-8b,debug_task,caveman,37,558,1.85e-06,0.0002232,0.00022505,Function returns None? Here's why:  - No return statement.   - Return in wrong place.   - Variable not assigned.   - Function not called.   - Print in,8544
qwen3-8b,debug_task,telegraph,67,728,3.856440841962315e-06,0.00033522255915803767,0.000339079,fn missing return → None   fn return in conditional not always hit → None   fn function not returning anything → None   err unhandled exception → None,8535
qwen3-8b,debug_task,minimal,43,658,2.1499999999999997e-06,0.0002632,0.00026535,1. Missing return statement.   2. Return in unreachable code.   3. Print instead of return.   4. Conditional branches not triggered.,11731
qwen3-8b,debug_task,structured,57,415,2.8500000000000002e-06,0.00016600000000000002,0.00016885,"ANSWER: Common causes include missing return statements, accidental None returns, or using print instead of return.   STEPS: 1. Check for missing retu",5726
qwen3-8b,debug_task,bullets,45,571,2.25e-06,0.0002284,0.00023065,- Missing return statement   - Return inside conditional not always hit   - Using print instead of return   - Function not called correctly   - Code s,8610
qwen3-8b,debug_task,ultrashort,37,458,2.1266152391245613e-06,0.00021059238476087546,0.000212719,"Missing return statement, return in conditional not covering all paths, using print instead of return, function calls that return None (e.g., list met",5645
qwen3-8b,debug_task,yoda,42,626,2.1e-06,0.0002504,0.0002525,"Function lacks return statement. Return statement missing. Function does not reach return. By default, function returns None. Return statement has typ",10099
qwen3-8b,design_q,baseline,17,2416,8.499999999999999e-07,0.0009664,0.00096725,"REST (Representational State Transfer) and GraphQL are both approaches to building APIs, but they differ significantly in their design principles, usa",35247
qwen3-8b,design_q,caveman,32,614,1.6e-06,0.0002456,0.0002472,"REST: URLs, GET/POST, full data.   GraphQL: Ask, pick what you want, one call.",10269
qwen3-8b,design_q,telegraph,62,768,3.563491459877538e-06,0.00035313050854012245,0.000356694,- REST → multiple endpoints (fn)   - GraphQL → single endpoint (fn)   - REST → over-fetching (cfg)   - GraphQL → precise data (cfg)   - REST → fixed r,7917
qwen3-8b,design_q,minimal,38,364,1.9000000000000004e-06,0.00014560000000000002,0.0001475,"REST uses standard HTTP methods and resources, while GraphQL is a query language for precise data requests. REST typically requires multiple endpoints",5457
qwen3-8b,design_q,structured,52,441,2.5999999999999992e-06,0.00017639999999999995,0.000179,"ANSWER: REST uses standard HTTP methods and resources, while GraphQL uses a single endpoint for flexible data queries.   STEPS:   1. Define REST as re",6782
qwen3-8b,design_q,bullets,40,446,2e-06,0.0001784,0.0001804,- REST uses standard HTTP methods; GraphQL uses query syntax.   - REST requires multiple endpoints; GraphQL uses a single endpoint.   - REST returns f,6299
qwen3-8b,design_q,ultrashort,32,324,1.5999999999999997e-06,0.00012959999999999998,0.0001312,"REST uses standard HTTP methods and fixed endpoints, while GraphQL uses a single endpoint with query/mutation syntax to request precise data.",5273
qwen3-8b,design_q,yoda,37,860,1.8499999999999999e-06,0.00034399999999999996,0.00034585,"Difference between REST and GraphQL, what is? REST uses HTTP methods, GraphQL uses query language. Resource-based is REST, query-based is GraphQL. Mul",11388
qwen3-8b,simple_code,baseline,21,1288,1.05e-06,0.0005152,0.00051625,"To determine whether a string is a **palindrome**, we can leverage Python's string slicing feature. A palindrome is a string that reads the same forwa",19626
qwen3-8b,simple_code,caveman,36,391,1.8000000000000001e-06,0.0001564,0.0001582,def is_palindrome(s):       return s == s[::-1],5835
qwen3-8b,simple_code,telegraph,66,781,3.2999999999999993e-06,0.00031239999999999995,0.0003157,- def is_palindrome(s): → fn   - s = ''.join(c for c in s if c.isalnum()).lower() → cfg   - return s == s[::-1] → impl,12623
qwen3-8b,simple_code,minimal,42,384,2.1e-06,0.0001536,0.0001557,def is_palindrome(s): return s == s[::-1],6187
qwen3-8b,simple_code,structured,56,552,2.8e-06,0.00022079999999999997,0.0002236,ANSWER: The function checks if a string equals its reverse.   STEPS: 1. Define function with string parameter. 2. Reverse the string. 3. Compare origi,9821
qwen3-8b,simple_code,bullets,44,521,2.2e-06,0.0002084,0.0002106,- Define function is_palindrome with parameter s   - Return s == s[::-1] to check palindrome   - Use slicing to reverse string   - Compare original an,8128
qwen3-8b,simple_code,ultrashort,36,402,1.8e-06,0.0001608,0.0001626,def is_palindrome(s):     return s == s[::-1],5762
qwen3-8b,simple_code,yoda,41,635,2.05e-06,0.000254,0.00025605,"Check if a string is a palindrome, write a Python function.   def is_palindrome(s): return s == s[::-1]",9350
gpt-oss-20b,jwt_auth,baseline,76,1024,3.2656413073331496e-06,0.00020533435869266685,0.0002086,"## 1. What is JWT?  **JWT** – *JSON Web Token* – is a compact, URL‑safe means of representing claims to be transferred between two parties.   Typical ",3569
gpt-oss-20b,jwt_auth,caveman,80,691,2.3999999999999995e-06,9.674e-05,9.914e-05,"JWT auth   - Token = JWS   - Header: type, algo   - Payload: data   - Sign: secret key    Flow   - Client ask server for login   - Server create token",27122
gpt-oss-20b,jwt_auth,telegraph,124,988,5.337482399324133e-06,0.00019846251760067586,0.0002038,"- JWT: Base64URL(header|payload|signature) → stateless token   - Header: alg, typ → defines signature algorithm   - Payload: claims (sub, exp, iat, ro",7393
gpt-oss-20b,jwt_auth,minimal,98,321,4.24298245614035e-06,6.485701754385964e-05,6.91e-05,"JWT = JSON Web Token.   *Header* ‑ algorithm/type.   *Payload* ‑ claims (sub, exp, roles).   *Signature* ‑ HMAC or RSA over header‖payload with secret",1385
gpt-oss-20b,jwt_auth,structured,100,1024,2.9999999999999997e-06,0.00014336,0.00014636,"ANSWER: JWTs encode authentication claims in a signed token that clients present on each request, allowing servers to verify identity without maintain",34372
gpt-oss-20b,jwt_auth,bullets,-1,-1,,,,ERROR: 'NoneType' object is not subscriptable,-1
gpt-oss-20b,jwt_auth,ultrashort,91,503,3.9242583732057404e-06,0.00010122574162679426,0.00010515,JWT authentication encodes user identity and claims into a signed JSON Web Token that clients send with each request; the server verifies the signatur,1963
gpt-oss-20b,jwt_auth,yoda,98,918,5.2860063897763574e-06,0.00023107399361022363,0.00023636,"**Yoda‑style explanation of JWT authentication:**  JWT, tokens that travel. Secret key, encode payload. Algorithm HS256, chosen. Signature, added for ",3377
gpt-oss-20b,sql_explain,baseline,79,1024,4.253249845604885e-06,0.00025727675015439517,0.00026153,### 1. What is a Database Index?  An index is a database‑level data structure that gives the database engine a fast path to locate rows that satisfy a,3437
gpt-oss-20b,sql_explain,caveman,94,194,4.091727818545696e-06,3.94082721814543e-05,4.35e-05,"Index = map   Data row → location    Fast find, sort, join.    Use when:    * Table > small   * Query uses WHERE on column   * Query sorts or groups o",2753
gpt-oss-20b,sql_explain,telegraph,127,431,4.141407638347622e-06,6.558859236165237e-05,6.973e-05,"- db index: hash/BT‑tree structure map key→row ptr, speeds lookups   - use index when:     - search predicates on indexed column(s) → reduce scans    ",6777
gpt-oss-20b,sql_explain,minimal,101,251,3.907167932931621e-06,4.531283206706837e-05,4.922e-05,"A database index is a data structure that maps column values to row locations, allowing the database to find rows faster than a full table scan.   Use",6163
gpt-oss-20b,sql_explain,structured,114,169,4.417710487444608e-06,3.056228951255539e-05,3.498e-05,ANSWER: A database index is an auxiliary data structure that accelerates read queries by allowing the database engine to quickly locate rows that matc,4483
gpt-oss-20b,sql_explain,bullets,101,617,4.3530197964433505e-06,0.00012409698020355664,0.00012845,- Data structure speeding up data retrieval by column values.   - Maps column values to row positions.   - Improves SELECT performance significantly. ,3932
gpt-oss-20b,sql_explain,ultrashort,81,143,2.4299999999999996e-06,2.002e-05,2.245e-05,"A database index is a data structure that improves query performance by providing a quick lookup for specific column values, and you should use one wh",6253
gpt-oss-20b,sql_explain,yoda,-1,-1,,,,ERROR: 'NoneType' object is not subscriptable,-1
gpt-oss-20b,debug_task,baseline,79,1024,3.394891237219515e-06,0.0002053551087627805,0.00020875,Below is a “cheat‑sheet” of the **most common** ways a Python function ends up with an *unexpected* `None` return value.   Ready‑to‑copy snippets and ,3614
gpt-oss-20b,debug_task,caveman,96,382,4.034861603974449e-06,7.492513839602556e-05,7.896e-05,"Missing return.   No value set.   Early exit.   Indent wrong.   Recursion no base.   Exception swallow, no return.   Call returns None.   Explicit ret",2733
gpt-oss-20b,debug_task,telegraph,114,545,3.419999999999999e-06,7.63e-05,7.972e-05,- fn lacks return stmt → returns None - explicit `return None` in fn body → None - fn ends prematurely (no return) via early exit; implicit None - exc,18956
gpt-oss-20b,debug_task,minimal,101,310,4.3756515184148174e-06,6.267434848158519e-05,6.705e-05,"- No `return` in the function (defaults to `None`) - Explicit `return None` - All code paths exit without hitting a `return` (e.g., due to mis‑indente",1360
gpt-oss-20b,debug_task,structured,116,220,4.491108518086347e-06,3.974889148191365e-05,4.424e-05,"ANSWER: A Python function returns None unexpectedly when it executes without an explicit return, returns None explicitly, dereferences a None value, e",8248
gpt-oss-20b,debug_task,bullets,90,759,2.6999999999999996e-06,0.00010626,0.00010896,- No return statement returns None automatically.   - Return inside a condition not met ends silent.   - Using print instead of return for output.   -,27112
gpt-oss-20b,debug_task,ultrashort,98,271,3.205376712328767e-06,4.136462328767123e-05,4.457e-05,"Typical reasons a Python function returns None unexpectedly are no return statement, a return inside a conditional that never runs, printing instead o",3373
gpt-oss-20b,debug_task,yoda,-1,-1,,,,ERROR: 'NoneType' object is not subscriptable,-1
gpt-oss-20b,design_q,baseline,79,1024,2.549380360941467e-06,0.00015421061963905854,0.00015676,**REST** and **GraphQL** are two different paradigms for building APIs that let a client retrieve data from a server.   Below is a side‑by‑side compar,12104
gpt-oss-20b,design_q,caveman,92,295,3.8462097140263275e-06,5.755379028597367e-05,6.14e-05,REST:   - One URL per resource   - Fixed shape data   - More calls for many items    GraphQL:   - One endpoint   - Client ask exact fields   - Fewer r,2078
gpt-oss-20b,design_q,telegraph,123,582,4.155311729482212e-06,9.175468827051778e-05,9.591e-05,- REST: resource‐centric ↔ static URI; GraphQL: operation‑centric ↔ single URI   - REST: HTTP verbs (GET/POST/PUT/DELETE) dictate action → state mutat,1761
gpt-oss-20b,design_q,minimal,86,149,2.5799999999999994e-06,2.0859999999999997e-05,2.344e-05,"REST uses fixed endpoints and HTTP methods, returning full resource or a subset; multiple calls may be needed. GraphQL has a single endpoint where the",7181
gpt-oss-20b,design_q,structured,112,196,4.062545454545454e-06,3.317745454545455e-05,3.724e-05,"ANSWER: REST is a stateless, resource-oriented API style using fixed endpoints and CRUD operations, while GraphQL is a query language/API that lets cl",822
gpt-oss-20b,design_q,bullets,99,275,3.450557029177719e-06,4.472944297082228e-05,4.818e-05,- REST exposes multiple endpoints per resource type.   - GraphQL uses single endpoint for all data queries.   - REST returns fixed data shapes.   - Gr,1626
gpt-oss-20b,design_q,ultrashort,92,122,3.441653225806451e-06,2.1298346774193547e-05,2.474e-05,"REST uses fixed, resource-oriented endpoints requiring multiple round‑trips, while GraphQL lets clients query exactly the fields they need in a single",801
gpt-oss-20b,design_q,yoda,97,674,4.110558239950652e-06,0.00013328944176004936,0.0001374,"REST, many endpoints there are, each request a new path.   GraphQL, single endpoint you use, queries you send, fields you choose.   REST, more overhea",5192
gpt-oss-20b,simple_code,baseline,80,661,3.088603328417948e-06,0.00011909139667158206,0.00012218,"Here’s a straightforward, but also fairly robust, Python function that tells you whether a string is a palindrome:  ```python def is_palindrome(s: str",30298
gpt-oss-20b,simple_code,caveman,82,715,2.4599999999999993e-06,0.0001001,0.00010256,"```python def is_palindrome(s):     return s == s[::-1] ```  Caveman:   Check string.   Reverse string.   Compare.   If same, true.   Else, false.",34439
gpt-oss-20b,simple_code,telegraph,113,693,3.3899999999999997e-06,9.702e-05,0.00010041,- fn chk_pal(s):   - s_clean=''.join(c.lower() for c in s if c.isalnum())   - return s_clean==s_clean[::-1],35262
gpt-oss-20b,simple_code,minimal,102,70,4.197387247278382e-06,1.3442612752721617e-05,1.764e-05,```python def is_palindrome(s: str) -> bool:     return s == s[::-1] ```,1682
gpt-oss-20b,simple_code,structured,102,701,3.06e-06,9.813999999999999e-05,0.0001012,ANSWER: Return True if the string equals its reverse | STEPS: 1. Define is_palindrome(s). 2. Optionally normalise case. 3. Compare s to s[::-1]. 4. Re,27114
gpt-oss-20b,simple_code,bullets,102,323,5.570492957746478e-06,8.231950704225352e-05,8.789e-05,- def is_palindrome(s): -     return s == s[::-1],3054
gpt-oss-20b,simple_code,ultrashort,82,297,2.4599999999999993e-06,4.158e-05,4.404e-05,```python def is_palindrome(s: str) -> bool:     return s == s[::-1] ```,12543
gpt-oss-20b,simple_code,yoda,-1,-1,,,,ERROR: 'NoneType' object is not subscriptable,-1
gpt-oss-120b,jwt_auth,baseline,78,1024,1.5971628398501295e-05,0.0009677483716014986,0.00098372,"## 1️⃣  What a JWT Is – in a nutshell    A **JSON Web Token (JWT)** is a compact, URL‑safe string that contains a set of **claims** (pieces of informa",2313
gpt-oss-120b,jwt_auth,caveman,97,492,7.613685390338196e-06,0.0001782363146096618,0.00018585,"**JWT auth – caveman style**  - user send name pass - server check ok? - server make token     - header: alg HS256, typ JWT     - payload: sub user, i",2238
gpt-oss-120b,jwt_auth,telegraph,111,1001,4.563857324032974e-06,0.00018995514267596705,0.000194519,"- client login→server validates creds→server issues JWT (header.payload.signature)   - JWT parts: header (alg, typ), payload (claims), signature (sign",28921
gpt-oss-120b,jwt_auth,minimal,87,576,3.5755266874001848e-06,0.00010925747331259982,0.000112833,"**How JWT authentication works**  1. **Login** – client sends credentials (e.g., username/password).   2. **Token issuance** – server verifies credent",14817
gpt-oss-120b,jwt_auth,structured,54,464,2.106e-06,8.352e-05,8.5626e-05,"ANSWER: JWT authentication issues a signed token with user claims that the client presents on each request, and the server validates the signature to ",17548
gpt-oss-120b,jwt_auth,bullets,-1,-1,,,,ERROR: 'NoneType' object is not subscriptable,-1
gpt-oss-120b,jwt_auth,ultrashort,95,403,1.0057365728900254e-05,0.00019691263427109971,0.00020697,"JWT authentication issues a signed token containing user claims, which the client includes in request headers for the server to verify the signature a",7114
gpt-oss-120b,jwt_auth,yoda,-1,-1,,,,ERROR: 'NoneType' object is not subscriptable,-1
gpt-oss-120b,sql_explain,baseline,79,1024,3.081e-06,0.00018431999999999997,0.000187401,## 1. What a database index **is**  A **database index** is a separate data structure that the DBMS maintains alongside the table data in order to spe,21512
gpt-oss-120b,sql_explain,caveman,34,26,1.3259999999999999e-06,4.68e-06,6.006e-06,"Index = key map, fast find    Use when: many search, big table, slow scan, join heavy, filter often  ",5973
gpt-oss-120b,sql_explain,telegraph,112,543,4.600285815019391e-06,0.00010293771418498061,0.000107538,"- db idx = data structure (B‑tree, hash) mapping col values → row pointers   - speeds up lookup, range scan, sort, join key match   - cost: extra stor",16064
gpt-oss-120b,sql_explain,minimal,103,216,5.538978250227289e-06,5.361102174977272e-05,5.915e-05,"A database index is a separate data structure (e.g., B‑tree, hash) that stores column values in a way that allows rapid lookup of rows. Use an index o",6746
gpt-oss-120b,sql_explain,structured,114,374,1.790517682468021e-05,0.00027111482317531977,0.00028902,"ANSWER: A database index is an auxiliary data structure that maps column values to row locations to speed up lookups, sorts, and joins, much like a bo",6607
gpt-oss-120b,sql_explain,bullets,103,507,5.561072451903397e-06,0.0001263389275480966,0.0001319,"- Data structure mapping column values to row locations.   - Speeds up query lookups, sorting, joining.   - Use on frequently searched columns.   - Be",16041
gpt-oss-120b,sql_explain,ultrashort,94,113,8.483141714571359e-06,4.706685828542865e-05,5.555e-05,"A database index is a data structure that improves query speed by allowing rapid lookup of rows based on column values, and you should use one wheneve",5202
gpt-oss-120b,sql_explain,yoda,101,877,5.460588137133109e-06,0.0002188394118628669,0.0002243,"Improves the speed of data retrieval operations on a database table, a database index is.   When you query large tables frequently, filter or sort on ",25986
gpt-oss-120b,debug_task,baseline,92,1024,9.952027587968579e-06,0.0005112479724120314,0.0005212,Here are the **most common reasons** a Python function ends up returning **`None`** when you didn’t expect it to.   For each cause I give a short desc,29322
gpt-oss-120b,debug_task,caveman,83,302,3.4067265482577213e-06,5.721027345174228e-05,6.0617e-05,no return   return None   branch miss return   exception swallowed   default arg mutable   global var changed   missing else case   print used not ret,9454
gpt-oss-120b,debug_task,telegraph,129,779,6.968882830410806e-06,0.00019423111716958922,0.0002012,- no explicit return → implicit None   - return only in some branches → missed path → None   - return value from dict.get / dict.pop without default →,24084
gpt-oss-120b,debug_task,minimal,90,221,3.689189189189189e-06,4.1810810810810813e-05,4.55e-05,- No `return` statement (or control reaches end of function)   - `return` inside a conditional branch that isn’t always taken   - Implicit return of `,6577
gpt-oss-120b,debug_task,structured,116,239,1.7749068652195862e-05,0.00016878093134780413,0.00018653,"ANSWER: Common reasons include missing return statements, returning inside a conditional branch, implicit fall‑through, returning a variable that is N",11659
gpt-oss-120b,debug_task,bullets,103,774,1.6476378325205635e-05,0.0005714436216747944,0.00058792,"- Missing return statement; function defaults to None   - Conditional return never reached, falls through to None   - Using list.append() as return va",9039
gpt-oss-120b,debug_task,ultrashort,36,60,1.404e-06,1.08e-05,1.2204e-05,"The most common reasons are a missing or unreachable `return` (e.g., it’s inside a conditional that isn’t taken), calling or returning a helper that i",13208
gpt-oss-120b,debug_task,yoda,88,1024,3.61918138821424e-06,0.00019437281861178578,0.000197992,Common causes the most are what? Returns None unexpectedly my,30032
gpt-oss-120b,design_q,baseline,64,1024,2.632813977389517e-06,0.0001944231860226105,0.000197056,## REST vs. GraphQL – A Quick‑to‑Read Comparison    | Aspect | **REST** | **GraphQL** | |--------|----------|--------------| | **What it is** | An arc,39504
gpt-oss-120b,design_q,caveman,103,289,1.1096803897424914e-05,0.00014370319610257509,0.0001548,"REST – many URLs, fixed response.   GraphQL – single URL, query defines shape.    REST – overfetch, underfetch common.   GraphQL – exact fields, no wa",19236
gpt-oss-120b,design_q,telegraph,61,245,2.379e-06,4.410000000000001e-05,4.6479e-05,"- REST: endpoint per resource; GraphQL: single endpoint, query defines shape   - REST: overfetch/underfetch → extra req/res; GraphQL: exact field sele",19093
gpt-oss-120b,design_q,minimal,86,321,3.5301105113357545e-06,6.081388948866425e-05,6.4344e-05,- **Endpoint**: REST uses multiple URLs; GraphQL uses a single endpoint.   - **Payload**: REST returns fixed resource representations; GraphQL returns,10425
gpt-oss-120b,design_q,structured,114,180,9.164580850024426e-06,6.678641914997559e-05,7.5951e-05,"ANSWER: REST relies on multiple fixed endpoints returning whole resources, while GraphQL uses a single endpoint with flexible queries that return exac",7792
gpt-oss-120b,design_q,bullets,38,126,1.4819999999999997e-06,2.268e-05,2.4162e-05,"- REST uses fixed endpoints, GraphQL uses a single endpoint.   - REST responses predefined, GraphQL returns client‑specified fields.   - Over‑fetching",68989
gpt-oss-120b,design_q,ultrashort,92,77,8.071354883081154e-06,3.117864511691884e-05,3.925e-05,"REST uses fixed endpoints that return predefined resources, while GraphQL provides a single endpoint where clients specify exactly the data they need ",6922
gpt-oss-120b,design_q,yoda,-1,-1,,,,ERROR: 'NoneType' object is not subscriptable,-1
gpt-oss-120b,simple_code,baseline,78,674,1.0178158923143725e-05,0.0004059218410768563,0.0004161,"Here’s a compact, well‑documented Python implementation that checks whether a given string is a palindrome.   It ignores case, whitespace, and any non",5714
gpt-oss-120b,simple_code,caveman,95,239,8.904686998394865e-06,0.00010339531300160514,0.0001123,"```python def is_pal(s):     # clean     t = s.lower().replace(' ', '')     # reverse     rev = t[::-1]     # compare     return t == rev ```",8821
gpt-oss-120b,simple_code,telegraph,65,49,2.535e-06,8.82e-06,1.1355e-05,- fn is_pal(s: str) -> bool: -     clean = ''.join(ch.lower() for ch in s if ch.isalnum())   # filter→lower -     return clean == clean[::-1]         ,11494
gpt-oss-120b,simple_code,minimal,104,124,5.5666969972702454e-06,3.0633303002729755e-05,3.62e-05,```python def is_palindrome(s: str) -> bool:     return s == s[::-1] ```,4483
gpt-oss-120b,simple_code,structured,115,454,1.0046441621715678e-05,0.00018305355837828434,0.0001931,ANSWER: A palindrome check compares a normalized string to its reverse. | STEPS: 1. Define function `is_palindrome(s)`. 2. Strip non‑alphanumeric char,4457
